Nick                          S34     S33     S32     S31     S30     S29     S28     S27     S26     S25     S24     S23     S22     S21     S20     S19     S18     S17     S16     S15     S14     S13     S12     S11     S10      S9      S8      S7      S6      S5      S4      S3      S2      S1
-------------------------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------
xhu98                      3264.1  3264.1  3243.0  3243.1  3243.1  3243.1  3243.1  3243.1  3243.1  3243.2  3243.2  3243.2  3243.2  3243.2  3243.2  3243.2  3243.2  3243.2  3243.2  3243.2  3243.2  3243.2  3243.2  3243.2  3243.2  3243.1  3243.1  3243.1  3243.1  3243.1  3243.0  3243.0  3243.0  3243.0
Nilatarion                 3124.1  3085.1  3060.8  3038.9  3038.9  3038.9  3038.9  3038.9  3038.9  3038.9  3039.0  3039.0  3039.0  3039.0  3039.0  3039.0  3039.0  3039.0  3039.0  3039.0  3039.0  3039.0  3039.0  3039.0  3038.9  3038.9  3038.9  3038.9  3038.9  3038.9  3038.9  3038.9  3038.8  3038.8
cezary                     3118.7  3165.9  3157.0  3133.3  3099.7  3097.8  3061.3  3020.2  3009.5  2974.9  2920.3  2948.1  2952.5  2985.6  2980.6  2996.6  3017.8  3085.8  3095.8  3105.7  3081.1  3103.7  3121.2  3123.7  3124.7  3063.2  3105.4  3064.8  3052.9  3013.2  3069.2  3080.3  3056.8  2980.3
SweetDelight               3114.7  3114.7  3114.7  3114.7  3114.7  3114.7  3114.7  3114.7  3114.7  3114.6  3114.6  3114.6  3114.6  3119.1  3102.7  3102.7  3102.7  3102.7  3102.7  3102.7  3102.7  3102.7  3102.7  3102.7  3102.7  3102.7  3102.7  3102.7  3102.7  3102.8  3102.8  3102.8  3102.8  3102.8
Fantleroy                  3097.7  3054.7  3014.4  3032.7  3056.3  3014.1  3026.8  3009.8  2967.6  2961.9  2965.0  2984.2  3009.9  3084.5  3109.5  3096.9  3084.2  3084.2  3084.2  3084.2  3084.2  3084.2  3084.2  3084.2  3084.2  3084.2  3084.3  3084.3  3084.3  3084.3  3084.3  3084.3  3084.3  3084.3
sasha97                    3025.4  3025.4  3025.4  3025.4  3025.4  3025.4  3025.4  3025.4  3107.2  3115.4  3123.5  3131.6  3139.7  3147.9  3156.0  3164.1  3172.3  3180.4  3188.5  3196.6  3204.8  3186.8  3186.8  3186.8  3186.8  3186.8  3186.8  3186.8  3186.8  3186.8  3186.8  3186.8  3186.8  3186.8
Deejay                     3009.2  3009.2  3009.2  3009.2  3009.2  3009.2  3009.2  3009.2  3009.2  3009.2  3009.2  3009.2  3009.2  3009.1  3009.1  3009.1  3020.2  3008.3  3017.0  2967.1  2998.7  2973.7  2964.3  2994.6  3024.2  3025.5  2991.1  2954.5  2937.4  2974.2  2969.2  2925.8  2913.7  3009.0
LewZG                      2983.6  2983.6  2983.5  2927.0  2912.3  2984.3  2987.4  3031.3  2964.5  2861.1  2775.2  2765.0  2861.8  2907.4  2880.2  2894.4  2885.9  2874.6  2876.9  2831.0  2847.2  2824.5  2798.6  2728.7  2688.9  2674.0  2699.8  2701.2  2691.4  2691.4  2691.4  2691.4  2691.5  2691.5
gimlix                     2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2941.8  2876.1  2795.9  2715.8  2715.8  2715.8  2715.8  2715.7
Nantoka                    2927.9  2927.9  2927.9  2927.9  2927.9  2927.9  2927.9  2927.9  2927.9  2927.9  2927.9  2927.9  2927.9  2927.8  2927.8  2927.8  2927.8  2927.8  2927.8  2927.8  2959.7  2991.5  3021.1  2945.5  2929.5  2929.6  2929.6  2929.6  2929.6  2929.6  2929.6  2929.6  2929.6  2929.6
Warren                     2925.4  2925.4  2925.4  2947.2  2927.5  2833.2  2740.3  2756.5  2729.8  2683.8  2680.9  2678.2  2705.4  2705.4  2705.4  2705.4  2705.4  2705.4  2705.4  2705.4  2705.4  2705.4  2705.4  2705.4  2705.4  2705.4  2705.4  2705.4  2705.4  2705.4  2705.4  2705.4  2705.4  2705.4
